"Date(UTC)","UnixTimeStamp","Value"
"2/23/2020","1582416000","275.64"
"2/24/2020","1582502400","265.74"
"2/25/2020","1582588800","246.84"
"2/26/2020","1582675200","223.73"
"2/27/2020","1582761600","227.57"
"2/28/2020","1582848000","227.56"
"2/29/2020","1582934400","217.68"
"3/1/2020","1583020800","218.02"
"3/2/2020","1583107200","232.09"
"3/3/2020","1583193600","223.77"
"3/4/2020","1583280000","224.68"
"3/5/2020","1583366400","228.70"
"3/6/2020","1583452800","245.76"
"3/7/2020","1583539200","237.78"
"3/8/2020","1583625600","199.68"
"3/9/2020","1583712000","203.08"
"3/10/2020","1583798400","200.62"
"3/11/2020","1583884800","194.86"
"3/12/2020","1583971200","109.78"
"3/13/2020","1584057600","135.44"
"3/14/2020","1584144000","122.58"
"3/15/2020","1584230400","123.53"
"3/16/2020","1584316800","111.32"
"3/17/2020","1584403200","116.30"
"3/18/2020","1584489600","118.62"
"3/19/2020","1584576000","136.70"
"3/20/2020","1584662400","133.40"
"3/21/2020","1584748800","133.37"
03/22/20,-,128.41
